task,comment,topic,pred_topic
clinc,can you tell me what obsolescence means,definition,definitions
clinc,please explain the word catastrophic to me,definition,definitions
clinc,what's the meaning of naff,definition,definitions
clinc,can you tell me what dendrofilous means,definition,definitions
clinc,what does peer-to-peer actually mean,definition,definitions
clinc,define epicurean,definition,definitions
clinc,what does epicurean mean,definition,definitions
clinc,would you let me know what the meaning is life is,meaning of life,definitions
clinc,would you let me know what is the point of life,meaning of life,assistant capabilities
clinc,"right now, i need to know the meaning of life",meaning of life,definitions
clinc,define the meaning of life for me,meaning of life,definitions
clinc,i want to know the meaning of life,meaning of life,definitions
clinc,would you explain the meaning of life,meaning of life,definitions
clinc,i need you to tell me the meaning of life,meaning of life,definitions
clinc,i need to know what the meaning of life is now,meaning of life,definitions
clinc,tell me what the meaning of life is,meaning of life,definitions
clinc,i need to know what the point of life is,meaning of life,definitions
clinc,let me know what the point of life is,meaning of life,assistant capabilities
clinc,would you provide me with what the point of life is,meaning of life,definitions
clinc,tell me what the point of life is,meaning of life,definitions
clinc,what is the reason humans even exist,meaning of life,definitions
clinc,do you think our lives have purpose or meaning,meaning of life,assistant capabilities
clinc,can you tell me about the meaning of life,meaning of life,definitions
clinc,can you tell me what the meaning of life is,meaning of life,definitions
clinc,what do you know about the meaning of life,meaning of life,definitions
clinc,i would like information on the meaning of life,meaning of life,definitions
clinc,what information can you give me on the meaning of life,meaning of life,definitions
clinc,what is the core meaning of life,meaning of life,definitions
clinc,what do you know about lifes meaning,meaning of life,definitions
clinc,is there any consensun regarding lifes true meaning,meaning of life,definitions
clinc,is there a reason beyond biology about why humans are alive,meaning of life,identity (human or AI)
clinc,do you think being alive has any meaning,meaning of life,identity (human or AI)
clinc,is there meaning to life,meaning of life,about the creator
clinc,is there meaning in life,meaning of life,definitions
clinc,what is the answer to life,meaning of life,definitions
clinc,what's the answer to it all,meaning of life,about the creator
clinc,what's life mean to you,meaning of life,definitions
clinc,i would like to change my insurance policy,insurance change,new insurance plans
clinc,can i edit my insurance policy,insurance change,new insurance plans
clinc,i am interested in a new insurance plan,insurance change,new insurance plans
clinc,i really would like to get a new insurance plan,insurance change,new insurance plans
clinc,i am in the market for a new insurance plan,insurance change,new insurance plans
clinc,is there a way to alter my insurance policy,insurance change,new insurance plans
clinc,how can i change to new insurance plan,insurance change,new insurance plans
clinc,help me find a new insurance plan,insurance change,new insurance plans
clinc,can i update my insurance policy,insurance change,new insurance plans
clinc,who do i contact about updating my insurance,insurance change,new insurance plans
clinc,can you help me change my insurance policy,insurance change,new insurance plans
clinc,"i need to change my insurance policy, do you know how",insurance change,new insurance plans
clinc,what are the steps to change my insurance policy,insurance change,new insurance plans
clinc,do you know how i can change my insurance policy,insurance change,new insurance plans
clinc,how to i change the policy on my insurace,insurance change,new insurance plans
clinc,what do i need to do to get new insurance,insurance change,new insurance plans
clinc,do you know how i get new insurance,insurance change,new insurance plans
clinc,what is the protocol for getting new insurance,insurance change,new insurance plans
clinc,let me know the process for new insurance,insurance change,new insurance plans
clinc,i want to sign up for a new allstate insurance plan,insurance change,new insurance plans
clinc,i need to sign up for a new allstate plan,insurance change,new insurance plans
clinc,what is the procedure for signing up for a new allstate plan,insurance change,new insurance plans
clinc,how do i sign up for a new allstatedplan,insurance change,new insurance plans
clinc,i want to change to a new allstate insurance plan,insurance change,new insurance plans
clinc,i want a new insurance plan,insurance change,new insurance plans
clinc,what if i want to switch insurance plans,insurance change,new insurance plans
clinc,is there a way to get a new insurance plan,insurance change,new insurance plans
clinc,i want to switch to a new insurance plan,insurance change,new insurance plans
clinc,how do i switch insurance plans,insurance change,new insurance plans
clinc,phone number to state farm to change insurance,insurance change,new insurance plans
clinc,"can you help me find my phone, please",find phone,lost phone location
clinc,could you help me locate my phone,find phone,lost phone location
clinc,can you help me locate my phone,find phone,lost phone location
clinc,"could you help me locate my phone, please",find phone,lost phone location
clinc,"can you help me locate my phone, please",find phone,lost phone location
clinc,"i cannot locate my phone, can you help me",find phone,lost phone location
clinc,i need help locating my phone,find phone,lost phone location
clinc,can you assist me with finding my phone,find phone,lost phone location
clinc,i lost my phone can you help me,find phone,lost phone location
clinc,where the bleep did i put my bleeping phone,find phone,lost phone location
clinc,is my phone somewhere around here,find phone,lost phone location
clinc,"help, i've lost my cellphone!",find phone,lost phone location
clinc,i seem to have lost my phone,find phone,lost phone location
clinc,do you know my phone's location,find phone,lost phone location
clinc,can you find my phone,find phone,lost phone location
clinc,where's my phone at,find phone,lost phone location
clinc,what's my phone's location,find phone,lost phone location
clinc,can you help me hunt for my missing cellphone,find phone,lost phone location
clinc,locate my cellphone in this room,find phone,lost phone location
clinc,where did i last put my phone,find phone,lost phone location
clinc,find my cellphone for me!,find phone,lost phone location
clinc,where did i place my phone,find phone,lost phone location
clinc,where's my phone,find phone,lost phone location
clinc,my phone isn't where i left it,find phone,lost phone location
clinc,i think i've misplaced my phone,find phone,lost phone location
clinc,i've lost my phone somewhere,find phone,lost phone location
clinc,i think i lost my phone,find phone,lost phone location
clinc,would you know where to find my phone,find phone,lost phone location
clinc,please assist me in looking for my phone,find phone,lost phone location
clinc,look for my phone with me,find phone,lost phone location
clinc,is there a travel alert in spain,travel alert,safe travel alerts
clinc,travel alert in cuba,travel alert,safe travel alerts
clinc,alerts for travel in colombia,travel alert,safe travel alerts
clinc,are there travel alerts in mexico,travel alert,safe travel alerts
clinc,mexico travel alerts,travel alert,safe travel alerts
clinc,have there been any travel alerts for the us,travel alert,safe travel alerts
clinc,are there any travel advisories for the us,travel alert,safe travel alerts
clinc,what are the travel alerts for the us,travel alert,safe travel alerts
clinc,are there travel alerts for the us,travel alert,safe travel alerts
clinc,what travel alerts are in effect for the us,travel alert,safe travel alerts
clinc,i want to know if i will be safe if i travel to europe,travel alert,safe travel alerts
clinc,would i be safe if i traveled to japan,travel alert,safe travel alerts
clinc,is it safe to go to north korea,travel alert,safe travel alerts
clinc,will i be safe going to south america,travel alert,safe travel alerts
clinc,am i safe to go to africa,travel alert,safe travel alerts
clinc,which countries have travel alerts,travel alert,safe travel alerts
clinc,is it safe in italy,travel alert,safe travel alerts
clinc,what are the travel conditions for haiti,travel alert,safe travel alerts
clinc,are there any travel bulletins about haiti,travel alert,safe travel alerts
clinc,note any travel alerts for haiti,travel alert,safe travel alerts
clinc,find travel alerts for haiti,travel alert,safe travel alerts
clinc,does the state department say anything about traveling to haiti,travel alert,safe travel alerts
clinc,is there a travel alert for france,travel alert,safe travel alerts
clinc,is it safe for me to go to turkey,travel alert,safe travel alerts
clinc,is it safe to go to serbia,travel alert,safe travel alerts
clinc,safety concerns for malaysia,travel alert,safe travel alerts
clinc,is it safe for me to visit malawi,travel alert,safe travel alerts
clinc,is travel to monterrey safe now,travel alert,safe travel alerts
clinc,is it safe for people to travel to pakistan,travel alert,safe travel alerts
clinc,can people safely travel to cambodia,travel alert,safe travel alerts
clinc,please help me set up a vacation request,pto request,vacation planning
clinc,how does one go about putting in a vacation request,pto request,vacation planning
clinc,how do i put in a vacation request,pto request,vacation planning
clinc,walk me through on how to make a vacation request,pto request,vacation planning
clinc,please put in a vacation request,pto request,vacation planning
clinc,how is a vacation request done,pto request,vacation planning
clinc,how is a vacation request made,pto request,vacation planning
clinc,what is the process of making a vacation request,pto request,vacation planning
clinc,how would one make a vacation request,pto request,vacation planning
clinc,can i put in a pto request for september 1st to september 8th,pto request,vacation planning
clinc,"if i want to make a vacation request, how do i do it",pto request,vacation planning
clinc,can i put in a pto request for august 1st to august 10th,pto request,vacation planning
clinc,can i put in a pto request for january 4th to january 9th,pto request,vacation planning
clinc,can i put in a pto request for december 3rd to december 10th,pto request,vacation planning
clinc,can i put in a pto request for december 25th to january 1st,pto request,vacation planning
clinc,can i take pto from the end of the month to the 5th of the next month,pto request,vacation planning
clinc,can you help me plan a vacation,pto request,vacation planning
clinc,it it possible to take pto from the 8th to the 11th,pto request,vacation planning
clinc,is it ok if i use some of my pto on may 24th to may 29th,pto request,vacation planning
clinc,what do i do to set up a vacation,pto request,vacation planning
clinc,i need to use pto on october 5th to october 10th,pto request,vacation planning
clinc,how do i plan a vacation,pto request,vacation planning
clinc,can i put in a pto request for monday to wednesday,pto request,vacation planning
clinc,can i purchase a vacation using this,pto request,vacation planning
clinc,how do i get help with a vacation itinerary,pto request,vacation planning
clinc,how do i request a vacation,pto request,vacation planning
clinc,i'd like to request a vacation,pto request,vacation planning
clinc,i need to request a vacation,pto request,vacation planning
clinc,vacation request information,pto request,vacation status
clinc,vacation request please,pto request,vacation planning
clinc,how can i increase my credit score,improve credit score,credit scores
clinc,how can i raise my credit score,improve credit score,credit scores
clinc,how can i contribute to my credit score,improve credit score,credit scores
clinc,how is it possible to get a better credit score,improve credit score,credit scores
clinc,how can i up my credit score,improve credit score,credit scores
clinc,can you explain to me how i might boost my credit score,improve credit score,credit scores
clinc,my credit score stinks but i don't know how to improve it,improve credit score,credit scores
clinc,what preventative measures can i take to avoid a low credit score,improve credit score,credit scores
clinc,how can i keep my credit score from falling,improve credit score,credit scores
clinc,give me some ideas for boosting my credit score,improve credit score,credit scores
clinc,how can i prevent my credit score from dropping,improve credit score,credit scores
clinc,what steps can i take to build my credit score,improve credit score,credit scores
clinc,give me some tips on building up my credit score,improve credit score,credit scores
clinc,how can i rehabilitate my poor credit score,improve credit score,credit scores
clinc,give me some ideas of how to avoid my credit score lowering,improve credit score,credit scores
clinc,give me tips on improving my credit score,improve credit score,credit scores
clinc,what steps should i take if i want to ensure my credit score doesn't drop,improve credit score,credit scores
clinc,can you tell me some strategies for raising my credit score,improve credit score,credit scores
clinc,i want to know how i can build up a good credit score,improve credit score,credit scores
clinc,"""what's the method to improve credit score",improve credit score,credit scores
clinc,"""which is the best way to improve the credit score",improve credit score,credit scores
clinc,"""which could be improve the credit score",improve credit score,credit scores
clinc,"""when the credit score improve",improve credit score,credit scores
clinc,"""where is improve the credit score",improve credit score,credit scores
clinc,it is damaging to my credit score if i miss one credit card payment,improve credit score,credit scores
clinc,i have a revolving store card and defaulted so will my fico score be affected,improve credit score,credit scores
clinc,will my fico score decrease if i increase my student loan debt,improve credit score,credit scores
clinc,if i lose my job will my credit score go down,improve credit score,credit scores
clinc,can i hurt my credit rating if i open several credit cards in a short time frame,improve credit score,credit scores
clinc,will only having five late payments really make my credit bad,improve credit score,credit scores
clinc,name unusual facts about the circus,fun fact,fun facts
clinc,i need interesting baseball trivia from the nineteen eighties,fun fact,fun facts
clinc,tell me a fun fact about cars,fun fact,fun facts
clinc,give me a fun fact about kangaroo,fun fact,fun facts
clinc,give me a fun fact about koala,fun fact,fun facts
clinc,give me a fun fact about dolphin,fun fact,fun facts
clinc,what is some trivia about frog,fun fact,fun facts
clinc,tell me fun facts of today,fun fact,fun facts
clinc,give me something interesting about stars,fun fact,fun facts
clinc,what is some trivia question about coffee,fun fact,fun facts
clinc,tell me some trivia about sweat,fun fact,fun facts
clinc,tell me some trivia about dolphin,fun fact,fun facts
clinc,what is some trivia about the weather,fun fact,weather
clinc,give me a fun fact about komodo dragon,fun fact,fun facts
clinc,give me a amusing fact about wolf,fun fact,fun facts
clinc,what is the interesting trivia about human bodies,fun fact,fun facts
clinc,tell me today's fun fact,fun fact,fun facts
clinc,i want today's fun fact please,fun fact,fun facts
clinc,what is today's fun fact,fun fact,fun facts
clinc,today's fun fact,fun fact,fun facts
clinc,i want a fun fact about london,fun fact,fun facts
clinc,tell me something interesting about bees,fun fact,fun facts
clinc,i would you like to learn something interesting about bees,fun fact,fun facts
clinc,i want to hear cool bee facts,fun fact,fun facts
clinc,what's something interesting about bees,fun fact,fun facts
clinc,i wanna hear something cool about bees,fun fact,fun facts
clinc,tell me fun facts on science topics,fun fact,fun facts
clinc,tell me fun science facts,fun fact,fun facts
clinc,i want to know fun facts about koala bears,fun fact,fun facts
clinc,please speak in tagalog,change language,language settings
clinc,speak in german,change language,language settings
clinc,speak to me in dutch,change language,language settings
clinc,speak in french please,change language,language settings
clinc,speak spanish please,change language,language settings
clinc,i am not understanding the language you are responding in; switch it for me,change language,language settings
clinc,i can't understand the language you are responding in; i need you to switch it,change language,language settings
clinc,i need you to switch the language you are responding as i don't understand,change language,language settings
clinc,i don't understand your language; switch the language,change language,language settings
clinc,i need you to switch the language you are responding in,change language,language settings
clinc,i'd like to speak in portuguese,change language,language settings
clinc,can we speak in german,change language,language settings
clinc,i want to use spanish with you,change language,language settings
clinc,please let's speak in spanish,change language,language settings
clinc,please can we speak in dutch,change language,language settings
clinc,can you make the default language swedish,change language,language settings
clinc,is it possible to talk to you in mandarin,change language,language settings
clinc,would you understand me if i speak to you in navajo,change language,language settings
clinc,i'd like the language to be in spanish,change language,language settings
clinc,i'd like to use you using russian,change language,language settings
clinc,can i speak spanish to you hombre,change language,language settings
clinc,i want to start talking to you in swedish,change language,language settings
clinc,can i get you to change your language setting to russian,change language,language settings
clinc,please make your language setting norwegian,change language,language settings
clinc,i am going to speak english now,change language,language settings
clinc,i want to talk english,change language,language settings
clinc,we have to speak in english,change language,language settings
clinc,speak in dutch,change language,language settings
clinc,i want to speak to you in swiss german,change language,language settings
clinc,how long until my paycheck shows up,payday,payday/last paycheck
clinc,can you tell me the date of my last check,payday,payday/last paycheck
clinc,what was the date when i last go paid,payday,payday/last paycheck
clinc,what's the date on my last pay stub,payday,payday/last paycheck
clinc,when can i expect my paycheck,payday,payday/last paycheck
clinc,when is the next time i'll receive a paycheck,payday,payday/last paycheck
clinc,when did i last collect my salary,payday,payday/last paycheck
clinc,when do i next get paid,payday,payday/last paycheck
clinc,when is my paycheck arriving,payday,payday/last paycheck
clinc,what day is payday,payday,payday/last paycheck
clinc,do you know when my next check is coming,payday,payday/last paycheck
clinc,when do i get my next paycheck,payday,payday/last paycheck
clinc,when's pay day for me,payday,payday/last paycheck
clinc,i need to know when i get paid next,payday,payday/last paycheck
clinc,when's my next pay day,payday,payday/last paycheck
clinc,what day's my pay coming next,payday,payday/last paycheck
clinc,when do i get paid for my work,payday,payday/last paycheck
clinc,look up when my payday is supposed to be,payday,payday/last paycheck
clinc,when can i expect to be paid,payday,payday/last paycheck
clinc,look up the date for my next payday,payday,payday/last paycheck
clinc,what day will i earn my payment from work,payday,payday/last paycheck
clinc,find out when my next upcoming payday will be,payday,payday/last paycheck
clinc,when is the next payday i can look forward to,payday,payday/last paycheck
clinc,what day can i expect to receive payment on,payday,payday/last paycheck
clinc,when will my next paycheck be coming,payday,payday/last paycheck
clinc,when will my payment be deposited,payday,direct deposit
clinc,when do i get my next pay check,payday,payday/last paycheck
clinc,is it payday,payday,payday/last paycheck
clinc,do you know when i'll receive my next paycheck,payday,payday/last paycheck
clinc,what date do i get paid,payday,payday/last paycheck
clinc,how long does it take for a credit card to be reissued and mailed to me,replacement card duration,credit card replacement shipping
clinc,can credit card companies expedite delivery of reissued credit cards,replacement card duration,credit card replacement shipping
clinc,how can i request a new credit card,replacement card duration,credit card application status
clinc,i recently lost my credit card and need to know how long it takes to get a new one mailed to me,replacement card duration,credit card replacement shipping
clinc,i need to know the time it takes to get a new credit card sent to someone who lost theirs,replacement card duration,credit card replacement shipping
clinc,i lost my credit card recently  how long does take to get a new one in the mail,replacement card duration,credit card replacement shipping
clinc,what is amount of time it takes to get a new credit card i lost mine recently,replacement card duration,credit card replacement shipping
clinc,what is the time frame for sending a customer who lost their credit card a new one,replacement card duration,credit card replacement shipping
clinc,will i get getting my new card anytime soon,replacement card duration,credit card replacement shipping
clinc,what is the shipping status of my replacement card,replacement card duration,credit card replacement shipping
clinc,how long until i get my replacement card,replacement card duration,credit card replacement shipping
clinc,when is my new card expected to arrive,replacement card duration,credit card replacement shipping
clinc,is my replacement card due to arrive in the mail today,replacement card duration,credit card replacement shipping
clinc,how long before my new card is mailed to me,replacement card duration,credit card replacement shipping
clinc,what is the shipping time for my card,replacement card duration,credit card replacement shipping
clinc,how much time before my new card is mailed to me,replacement card duration,credit card replacement shipping
clinc,how long does it take to get a new credit card,replacement card duration,credit card replacement shipping
clinc,time to order and receive a new credit card,replacement card duration,credit card replacement shipping
clinc,when will i received a replacement card,replacement card duration,credit card replacement shipping
clinc,time to replace my credit card,replacement card duration,reporting damaged cards
clinc,how long before the replacement card is mailed to me,replacement card duration,credit card replacement shipping
clinc,how much longer before the card is mailed to me,replacement card duration,credit card replacement shipping
clinc,how long will it takes to get a new credit card,replacement card duration,credit card replacement shipping
clinc,what is the shipping wait for my card,replacement card duration,credit card replacement shipping
clinc,when will the replaecment card arrive,replacement card duration,credit card replacement shipping
clinc,let me know the wait on a replacement credit card,replacement card duration,credit card replacement shipping
clinc,let me know when the replacement card will arrive,replacement card duration,credit card replacement shipping
clinc,how soon can i expect a replacement card for my lost card to arrive,replacement card duration,credit card replacement shipping
clinc,i need you to tell me what time it is in new york now,time,current time
clinc,"what time is it in adelaide, australia right now",time,current time
clinc,is it after noon,time,current time
clinc,is it six o clock yet,time,current time
clinc,please give me the time in tanzania at this moment,time,current time
clinc,can you tell me the current time in jamaica,time,current time
clinc,"tell me the time in san francisco, please",time,current time
clinc,"what time is it right now in adelaide, australia",time,current time
clinc,what time is it in the eastern timezone,time,current time
clinc,what time is it in the mountain timezone,time,time zones
clinc,what time is it in the greenwich timezone,time,time zones
clinc,what time is it in the central timezone,time,current time
clinc,tell me what the time is in dallas,time,current time
clinc,what is the current time in dallas,time,current time
clinc,can you tell me what time it is in dallas,time,current time
clinc,what time is it in dallas,time,current time
clinc,tell time for another city: dallas,time,current time
clinc,what time is it right now at home,time,current time
clinc,what’s the time in new york,time,current time
clinc,tell me the time in california,time,current time
clinc,tell me the time in las vegas,time,current time
clinc,what is the time is central time zone,time,time zones
clinc,what is the time in the usa,time,current time
clinc,what is the time in est,time,current time
clinc,whats the exact time,time,current time
clinc,what is the current time,time,current time
clinc,what's the current time,time,current time
clinc,what time is it in california,time,current time
clinc,please give me the time,time,current time
clinc,the time is what,time,current time
clinc,how is the status of my credit card application coming along,application status,credit card application status
clinc,what exactly is the status of my application for the credit card,application status,credit card application status
clinc,i need to know the status of my credit card application,application status,credit card application status
clinc,i would like to know the status of my credit card application,application status,credit card application status
clinc,let me know if my application for american saving bank,application status,credit card application status
clinc,check the status of my credit card application for me,application status,credit card application status
clinc,i want to know if my credit card application has been processed,application status,credit card application status
clinc,i want to know the status of my credit card application,application status,credit card application status
clinc,can you check if my credit card application has been processed,application status,credit card application status
clinc,i want to know how is my credit card application going,application status,credit card application status
clinc,can you let me know the status of my discover credit card application status,application status,credit card application status
clinc,can you tell me the status of my credit card application,application status,credit card application status
clinc,has my application for american express gone through yet,application status,credit card application status
clinc,let me know about the status of my credit card application,application status,credit card application status
clinc,can you please tell me about the status of my credit card application,application status,credit card application status
clinc,can you please let me know the status of my capital one application,application status,credit card application status
clinc,let me know the credit card application status,application status,credit card application status
clinc,has my application for discover card gone through yet,application status,credit card application status
clinc,can you tell me the credit card application status,application status,credit card application status
clinc,has my application for the hsbc card been approved yet,application status,credit card application status
clinc,please tell me if my application for the hsbc card has gone through yet,application status,credit card application status
clinc,how far has my application for the hsbc card gone till now,application status,credit card application status
clinc,what's the status on my application for the hsbc credit card,application status,credit card application status
clinc,how far has my application for the hsbc card proceeded till now,application status,credit card application status
clinc,did the application for my visa card finish,application status,credit card application status
clinc,has my mastercard application gone through the process,application status,credit card application status
clinc,has my mastercard application gone through yet,application status,credit card application status
clinc,has my application for my visa card gone through,application status,credit card application status
clinc,has my mastercard application been processed,application status,credit card application status
clinc,when will i know if my visa card application was approved,application status,credit card application status
clinc,what's the status of by delta flight,flight status,flight status
clinc,what's the status of my virgin airlines flight,flight status,flight status
clinc,what's the status of my jetblue flight,flight status,flight status
clinc,what's the status of my southwest flight,flight status,flight status
clinc,what's the status of my american airlines flight,flight status,flight status
clinc,what's the news with my delta flight,flight status,flight status
clinc,where is my delta flight,flight status,flight status
clinc,what can you tell me about flight dl123,flight status,flight status
clinc,where is flight dl123,flight status,flight status
clinc,has flight dl123 left,flight status,flight status
clinc,is flight dl123 going to arrive on time,flight status,flight status
clinc,is my spirit flight running on time,flight status,flight status
clinc,what's the status for my delta flight this afternoon,flight status,flight status
clinc,give me the status on my united airlines flight,flight status,flight status
clinc,what's up with my american airline flight will it be on time,flight status,flight status
clinc,tell me what the status is for my aa flight,flight status,flight status
clinc,i need for you to get me the status of my american airlines flight,flight status,flight status
clinc,tell me the status of my american airlines flight,flight status,flight status
clinc,i need to know the status of my american airlines flight,flight status,flight status
clinc,would you let me know the status of my american airlines flight,flight status,flight status
clinc,let me know the status of my american airlines flight,flight status,flight status
clinc,has flight dl123 landed,flight status,flight status
clinc,"is my flight, dl123 on time",flight status,flight status
clinc,how far out is flight dl123,flight status,flight status
clinc,is flight dl123 delayed,flight status,flight status
clinc,what time is boarding scheduled,flight status,flight status
clinc,when is boarding scheduled,flight status,flight status
clinc,what time is boarding for my flight,flight status,flight status
clinc,when is boarding scheduled for my flight,flight status,flight status
clinc,when is my flight scheduled to board,flight status,flight status
clinc,flip a coin for me and i call heads,flip coin,coin flip
clinc,can you flip a coin for me,flip coin,coin flip
clinc,give me the results of a coin flip,flip coin,coin flip
clinc,please flip a coin for me,flip coin,coin flip
clinc,please flip a coin for me ai,flip coin,coin flip
clinc,flip a coin and tell me if it's heads,flip coin,coin flip
clinc,"ai, flip a coin for me",flip coin,coin flip
clinc,"ai, please flip a simulated coin",flip coin,coin flip
clinc,let's flip a coin i choose heads,flip coin,coin flip
clinc,can you please do a simulated coin flip for me ai,flip coin,coin flip
clinc,flip a coin i choose heads,flip coin,coin flip
clinc,flip a coin i'm calling heads,flip coin,coin flip
clinc,can you do a coin flip for me ai,flip coin,coin flip
clinc,i want you to flip a coin i choose heads,flip coin,coin flip
clinc,just toss a coin,flip coin,coin flip
clinc,just flip a coin,flip coin,coin flip
clinc,throw a coin in the air,flip coin,coin flip
clinc,flip a coin into the air,flip coin,coin flip
clinc,"heads, coin flip",flip coin,coin flip
clinc,"flip coin, heads!",flip coin,coin flip
clinc,"flip a coin, i call heads!",flip coin,coin flip
clinc,"coin flip, choose heads",flip coin,coin flip
clinc,"please flip a coin, i choose heads!",flip coin,coin flip
clinc,can you flip a coin i call heads,flip coin,coin flip
clinc,"flip a coin, i'm heads",flip coin,coin flip
clinc,"flip a coin, heads",flip coin,coin flip
clinc,"flip us a coin, i call heads",flip coin,coin flip
clinc,"flip a coin, you're tails and i'm heads",flip coin,coin flip
clinc,give me a coin toss result,flip coin,coin flip
clinc,"flip the coin, i choose heads",flip coin,coin flip
clinc,bob is my name now,change user name,user naming
