comment,topic,pred_topic
yeah don csis nciss enjoy mentalist,77,Crime TV Shows Popularity
uk robert kubica injured rally accident italian polish medium,11,Robert Kubica Rally Accident
breaking news king speech take top honor hollywood actor honor best sunday night annual screen ac,88,Oscar Nominations - King Speech
obamacare reagan appointed federal district judge florida ruled key portion obama,22,Healthcare Reform Court Rulings
st tunisia egypt yemen,79,Yemen Day of Rage
best superbowl commercial year chrysler comeback,99,Chrysler Dodge Revival Superbowl Ads
horrible journalist attacked detained egypt yahoo news,66,Journalist Attacks in Egypt
list journalist hurt harassed egypt,66,Journalist Attacks in Egypt
famous facebook flip flop social networking goliath number hasty move year,95,Facebook Privacy Settings
yikes list journalist attacked egypt hour abc news,66,Journalist Attacks in Egypt
lady press ahead fitness campaign daily caller obama tell abc good morning america,65,Michelle Obama's Health Initiatives
judge rule obama health care law,22,Healthcare Reform Court Rulings
watch christina aguilera screw national anthem super bowl post,75,Christina Aguilera's Anthem Fail
acai berry powder content health weight loss hard figure,55,Acai Berry Diet
facebook privacy setting user,95,Facebook Privacy Settings
taco bell beef convenience cost,20,Taco Bell Beef Lawsuit
jordan thousand protest demand pm step wave mass protest arab spread opposition supporter,38,Jordan PM Protests
yap palau sport fishing promotional sport fishing video produced video rating,60,Fishing Enthusiast Reports
court third party bias protection broad washington jan upi supreme court ruled unanimously,89,Supreme Court Workplace Retaliation Ruling
yell cast jr hartley ad digital era author search fly fishing book dj hunt book read,60,Fishing Enthusiast Reports
boatsshopping fishing headline oklahoma metro trout fishing pond instructional clinic pave exciting winter angling html,60,Fishing Enthusiast Reports
three ton striped bass seized illegal fishing net,60,Fishing Enthusiast Reports
federal judge strike health care reform call insurance purchase mandate aba journal,22,Healthcare Reform Court Rulings
love khloe kardashian,72,Kardashian Family Popularity
fighter king speech lead nominee tonight sag award beverly hill courier,88,Oscar Nominations - King Speech
check video christina aguilera super bowl national anthem mistake mess err,75,Christina Aguilera's Anthem Fail
murray djokovic happened,71,Australian Open Tennis Finals
pressure grows myanmar sanction call growing western sanction myanmar,110,Myanmar Sanctions
poll gop catch dems social medium,45,Obama's Social Media Strategy
nobel war prize wikileaks nuke fired cablegate wikileaks assange anonymous,12,Iran Nuclear Update
bbc news police lose officer,51,BBC Service Cuts
lololol doritos pepsi max killing superbowl commercial,99,Super Bowl Commercial Highlights
federal judge healthcare law,22,Healthcare Reform Court Rulings
king speech notch top director award movie running darren aronofsky,88,Oscar Nominations - King Speech
yummy recipe tuesday chicken fricasse,87,Chicken Recipes
secret natural weight loss food acai berry benefit,55,Acai Berry Diet
job wrong place memo president dear president state union add,32,Obama's Social Media Strategy
employment gaining speed jobless rate,26,Unemployment Rate Drop
ten thousand yemeni protest sanaa ten thousand yemeni staged day rage calling,79,Yemen Day of Rage
awful watched don text drive video driving class,104,Texting While Driving Pledge
netgear bos astonishing attack steve job,106,Steve Jobs Succession News
bronco christina aguilera flub national anthem kmgh denver,75,Christina Aguilera's Anthem Fail
governor proposes sweeping cut funding york school medicaid program slashed,19,Cuomo's Budget Plans
check article fox news sideline test detect concussion minute,84,Teen Athlete Concussions
eye will definetely glued tv screen love kardashians,72,Kardashian Family Popularity
don text drive pledge,104,Texting While Driving Pledge
fishing technique fishing maine surf fishing striped bass,60,Fishing Enthusiast Reports
tsa unveils body scanner software doesn naked alternet,25,TSA Body Scanners
oscar king speech haven black swan,88,Oscar Nominations - King Speech
teen creates anti bullying school program,90,Bullying Prevention Programs
bedbug rapidly evolving fight pesticide tech news,52,Bedbug Evolution News
super bowl commercial report card ranking winner loser bleacher report,99,Super Bowl Commercial Highlights
fast food caught immigration crosshairs reuters,80,Immigration Crackdowns
vice president communication director jay carney named white house press secretary,44,Steve Jobs Succession News
high court third party sue retaliation case,89,Supreme Court Workplace Retaliation Ruling
kold aguilera repeat national anthem,75,Christina Aguilera's Anthem Fail
volkswagon commercial superbowl,99,Volvo & VW Superbowl Ads
deadbedbugs fact bed bug cover,52,Bedbug Evolution News
gross taco bell sued bogus beef,20,Taco Bell Beef Lawsuit
great bbc piece summarising unrest north africa middle east,79,Egyptian Internet Shutdowns
sidney crosby concussion rule change braine hope pray doesn sight,84,Teen Athlete Concussions
charlie sheen leaf hospital medical emergency,68,Charlie Sheen Rehab
trenta cup hold entire bottle wine wrong,62,Starbucks Trenta Cup
healthy school food pay save attention going,102,Michelle Obama's Health Initiatives
post financial aid college lt gt financial advice lt gt popular lt gt lt gt,97,College Scholarships
teacher talking texting driving haaayy,104,Texting While Driving Pledge
financial aid help woman school hispanic scholarship,97,College Scholarships
mubarak silencing voice egypt journalist targeted read jan tahrir,66,Journalist Attacks in Egypt
video favorite superbowl commercial cute,99,Super Bowl Commercial Highlights
remember alex brown,104,Texting While Driving Pledge
enjoyed vw beetle commercial superbowl favorite,99,Volvo & VW Superbowl Ads
join campaign texting driving save life future will help,104,Texting While Driving Pledge
crazy lake shore drive downtown chicago shut,57,Chicago Blizzard
blog post potential replacement steve job apple,106,Steve Jobs Succession News
acai berry chocolate tasting weight loss diet plan adi news scientifically prov,55,Acai Berry Diet
red cabbage add color noodle salad soba salad chicken cabbage,87,Chicken Recipes
boosting america fashion,91,Spring Fashion Trends
news workshop preventing bullying positive behavior support school,90,Bullying Prevention Programs
yemen president won election,79,Yemen Day of Rage
best buy launch electronics buy program ap ap timing shopping gadget,85,Best Buy Electronics Buy Program
force strong great ad volkswagon superbowl commercial,99,Volvo & VW Superbowl Ads
dragon cute drinking cola superbowl cocacola commercial,99,Super Bowl Commercial Highlights
latest headline king speech lead oscar field british star colin firth helena bonham carter nominate,88,Oscar Nominations - King Speech
klassy breeze music blog black eyed aguilera love,75,Christina Aguilera's Anthem Fail
journalist social medium report egyptian demonstration journalist,45,Journalist Attacks in Egypt
hooper earns top dga prize king speech hooper won david fincher social network,88,Oscar Nominations - King Speech
ap maker academy award favorite social network king speech competi,88,Oscar Nominations - King Speech
congrats novak djokovic played brilliant tennis definitely deserve title,71,Australian Open Tennis Finals
breaknews yemen street day rage yemeni filled street sanaa,79,Yemen Day of Rage
protest start yemen despite concession president hundred anti government protest,79,Yemen Day of Rage
al jazeera journalist detained cairo police hotel room equipment confiscated jan,66,Journalist Attacks in Egypt
update michael steele resigns rnc,100,Michael Steele Criticism
egypt yemen demand change government well gt news tcot,79,Yemen Day of Rage
orange student dish school lunch white house chef orlando sentinel fl schoollunch letsmove,102,Michelle Obama's Health Initiatives
successful ice fishing perch depth finder successful ice,60,Best-selling Walleye Bait
acai berry weight loss diet plan healthy weight reduction number diet plan,55,Acai Berry Diet
thought beef lawsuit pr response,20,Taco Bell Beef Lawsuit
chris hemsworth lead celebrity storm tao sundance ministry appreciates sundance film festival founder,96,Sundance Film Festival Highlights
chipotle face ice inspection state reuters reuters chipotle mexican grill,80,Immigration Crackdowns
love kim kardashian ur hot wooohoooo lol,72,Kardashian Family Popularity
ten thousand march yemen president sanaa yemen ten thousand lukewilliamss,79,Yemen Day of Rage
best commercial super bowl imported detroit best,99,Chrysler Dodge Revival Superbowl Ads
late night time watch crime solving tv ncis csi sky looooove,77,Crime TV Shows Popularity
doritos commercial vote funniest superbowl commercial,99,Super Bowl Commercial Highlights
budweiser wild west tiny dancer commercial definitely favorite superbowl,99,Super Bowl Commercial Highlights
best deal fishing bait lure ebay best price,60,Best-selling Walleye Bait
fallon follow tip save energy included site tip will help beat hig,27,Energy Conservation Tips
uk foreign office urgently checking briton caught explosion uk news,36,Moscow Airport Explosion
government spending cut leave north east forestry commission base saveourforests,51,Manchester Austerity Cuts
starbucks trenta hold entire bottle wine people cougartown,62,Starbucks Trenta Cup
interested giffords improves watch hour tv gabrielle giffords watched hour television,37,Gabrielle Giffords' Recovery
doc river ll wait chris forsberg boston celtic captain paul pierce departed thursday,67,Australian Open Tennis Finals
facebook privacy setting user,95,Facebook Privacy Settings
daily review murdoch ipad newspaper rupert murdoch ipad launch daily offer glitzy graphic,54,Murdoch's iPad Newspaper Launch
commercial video eminem lipton brisk super bowl commercial,99,Super Bowl Commercial Highlights
updated rehab aim giffords life,37,Gabrielle Giffords' Recovery
breakingnews looter broke museum destroyed pharaonic mummy late friday nation top archaeologist reuters egypt,10,Looting in Egypt
grant fishing smile set grant arizona game fish department ki,60,Fishing Enthusiast Reports
tech cnn hack facebook unlocks security facebook adding security feature,95,Facebook Privacy Settings
black swan amazing natalie portman deserves award doubt will,101,Black Swan Oscar Buzz
recipe chicken cutlet,87,Chicken Recipes
favorited youtube video gm chevy super bowl commercial bumblebee,99,Super Bowl Commercial Highlights
thousand protest jordan middle east,38,Jordan PM Protests
sundance today tobey maguire demi moore kate bosworth tobey maguire waitin,96,Sundance Film Festival Highlights
extraordinary stuff arrested beaten egypt police,66,Journalist Attacks in Egypt
florida top freshwater fishing destination,60,Fishing Enthusiast Reports
best fly fishing website,60,Fishing Enthusiast Reports
weight loss diet plan living healthy acai berry adi news acai berry promote weight loss imp,55,Acai Berry Diet
super bowl commercial,99,Super Bowl Commercial Highlights
asia center graduate summer grant harvard university usa beasiswa scholarship,97,College Scholarships
yemen girds day rage saleh vow step bloomberg,79,Yemen Day of Rage
king speech lead academy award nomination including best picture,88,Oscar Nominations - King Speech
freemont tribune safety tip atm tip safety,108,Identity Theft Awareness
man charged joanna yeates murder,86,Jo Yeates Murder Case
internet news steve job medical problem affect apple stock latest internet news steve job,106,Steve Jobs Succession News
gop voter active social networking site political purpose washing artimpactnetpr,45,Obama's Social Media Strategy
obama campaign playbook promote agenda social medium,45,Obama's Social Media Strategy
don text drive makeachange,104,Texting While Driving Pledge
yemen arrest anti government activist yemen,79,Yemen Day of Rage
king speech win top honor director guild award,88,Oscar Nominations - King Speech
mobile market grew smartphones android driver will drive marke,81,Android Smartphone Trends
fishing report fishnotes caught bass gofishn,60,Fishing Enthusiast Reports
uk news lady take campaign childhood obesity army base,65,Michelle Obama's Health Initiatives
watch rite free movie online movie online,14,Movie 'The Rite'
fly box folly north american fly fishing forum ongoing effort achieve system perfection,60,Fishing Enthusiast Reports
king speech dominates sag award win best picture osacrs sagawards thekingsspeech,88,Oscar Nominations - King Speech
arizona bid block citizenship illegal immigrant anchor baby tcot tlot,82,Immigration Crackdowns
acai berry diet sexy acai berry scam warning acai berry diet,55,Acai Berry Diet
lmao didn feistyoldpeople chevy commercial superbowl,99,Super Bowl Commercial Highlights
mouratoglou murray djokovic classic yahoo,71,Australian Open Tennis Finals
endsmeat christina aguilera mess lyric national anthem super bowl,75,Christina Aguilera's Anthem Fail
wilmington nc inshore winter fishing report,60,Fishing Enthusiast Reports
oscar nomination full list academy award nominee,88,Oscar Nominations - King Speech
indicator point great fall steelhead fishing,60,Fishing Enthusiast Reports
yemen protest intensify arrest journalist tawakkol karman,79,Yemen Day of Rage
rash report social medium tool social unrest john rash tunisian mohamed bouazizi cou,45,Obama's Social Media Strategy
commerce bos immigration reform,82,Immigration Crackdowns
acai berry diet side effect lose weight fast acai berry diet side effe,55,Acai Berry Diet
great win packer christina land blunder,75,Christina Aguilera's Anthem Fail
celebrity gossip fishing madison river montana,60,Fishing Enthusiast Reports
conan blast christina super bowl anthem blunder time,75,Christina Aguilera's Anthem Fail
identity theft cost create problem business deal reaching fake provider showz,108,Identity Theft Awareness
florida judge strike obamacare america,22,Healthcare Reform Court Rulings
king speech rule obvious batch oscar bait news cnews canada,88,Oscar Nominations - King Speech
check price fly fishing lure ebay store info,60,Fishing Enthusiast Reports
debt consolidation help avoid bankruptcy debt consolidation involves single loan,74,Debt Settlement Plans
acai berry acai berry juice weight loss,55,Acai Berry Diet
daddy prefers vw commercial messing mini darth superbowl dadstalking,99,Volvo & VW Superbowl Ads
slow news day chicago ll live bloggin mayoral debate cdt,21,Rahm Emanuel Ballot Controversy
super bowl commercial coca cola commercial coke,99,Super Bowl Commercial Highlights
wished looked lucy hale kourtney kardashian pretty,72,Kardashian Family Popularity
reuters celebs hollywood actor honor king speech los angeles reuters oscar front runner king,88,Oscar Nominations - King Speech
best recipe caesar salad caesarsalad,87,Chicken Recipes
school tackling cut teen concussion bull ring drill football,84,Teen Athlete Concussions
reason acai berry weight loss diet case half popula,55,Acai Berry Diet
court allows emanuel ballot chicago mayor nytimes tlot news illinois dems,21,Rahm Emanuel Ballot Controversy
trout steelhead fly fishing supply stretched canvas poster steelhead trout image,60,Fishing Enthusiast Reports
fatal blast reported moscow airport terminal russian authority monday reported fatal explosion,36,Moscow Airport Explosion
simple easy prepare vintage fried chicken recipe,87,Chicken Recipes
huffingtonpost sundance film festival james franco three company installation,96,Sundance Film Festival Highlights
australia flooding cost enormous,98,Australia Flood Crisis
win djokovic won australian open,71,Australian Open Tennis Finals
cnn killed injured terror blast moscow airport terrorist suicide bomber blamed mosco,36,Moscow Airport Explosion
fishing bait bait trout fishing trout fishing type equipment dictate,60,Fishing Enthusiast Reports
actress farmiga sundance directing debut reuters reuters vera farmiga big breakout,96,Sundance Film Festival Highlights
dc medium opt tea party tea party caucus remains vigilant teaparty tcot tlot gop dem,103,Michael Steele Criticism
youtube video eminem lipton brisk super bowl commercial,99,Super Bowl Commercial Highlights
jordan protester gather country demanding prime minister step al jazeera,38,Jordan PM Protests
credit card debt consolidation gt credit card studentloans info conso,74,Debt Consolidation Options
sow bug round north american fly fishing forum time march mountain,60,Fishing Enthusiast Reports
meat high quality mediapost beef brouhaha taco bell buzz suffering mediapost,20,Taco Bell Beef Lawsuit
clinton bugun misir hk nededi secretary clinton condemns attack demonstrator journalist egypt vide jan,66,Journalist Attacks in Egypt
weight loss diet plan south american acai berry currently american lose,55,Acai Berry Diet
acai berry weight loss diet plan healthy weight reduction,55,Acai Berry Diet
missouri court rule immigrant adoption right terminated illegally missouri supreme court tuesday ove,82,Immigration Crackdowns
king speech usurps throne oscar leader ap,88,Oscar Nominations - King Speech
coming airport modesty change,25,Moscow Airport Explosion
super bowl national anthem singer christina aguilera fail video,75,Christina Aguilera's Anthem Fail
chrysler telling story well check chrysler commercial imported detroit,99,Chrysler Dodge Revival Superbowl Ads
top story illinois supreme court rahm emanuel ballot illinois supreme court issued ruling,21,Rahm Emanuel Ballot Controversy
weight loss diet acai berry weight loss diet plan diet diet food weight loss beauty sally beauty bea,55,Acai Berry Diet
entent complete list nomination annual academy award,88,Oscar Nominations - King Speech
hella funnny drt superbowl funniest doritos commercial,99,Super Bowl Commercial Highlights
undergraduate scholarship international college hotel management australia beasiswa schola,97,College Scholarships
hott cold sundance film festival lola blog,96,Sundance Film Festival Highlights
discus fish aquarium,60,Aquarium Fish
netherlands recall iran ambassador dutch woman execution foreign policy outrage,42,Iran-Dutch Diplomacy Freeze
video volkswagen invades super bowl darth vader starwars superbowl,99,Volvo & VW Superbowl Ads
best buy launch electronics buy program,85,Best Buy Electronics Buy Program
workshop offer help student aid form regional workshop open help faf,97,College Scholarships
drive text,104,Texting While Driving Pledge
heard acai berry diet acai berry heard diet purchasing,55,Acai Berry Diet
continuing cooking winning streak awesome lemon fennel pot roast chicken chicken boring,87,Chicken Recipes
red fishing knot book book fishing harry,60,Fishing Enthusiast Reports
wikileaks pushed uk sanction iranian bank cable view britain settin jpost,110,Iran-Dutch Diplomacy Freeze
king speech wint twee screen actor guild award,88,Oscar Nominations - King Speech
beck rating plummeted,59,Michael Steele Criticism
aaron rodgers helmet saved concussion bear green bay packer qb aaron rodgers believ,84,NFL Quarterback Concussions
don text drive,104,Texting While Driving Pledge
aguilera repeat national anthem,75,Christina Aguilera's Anthem Fail
facebook privacy setting user,95,Facebook Privacy Settings
watching superbowl darth vader commercial awesome love dude,99,Volvo & VW Superbowl Ads
ncis stupidest fucking television,77,Crime TV Shows Popularity
international scholarship bangor university uk beasiswa scholarship,97,College Scholarships
fish eat complete fishing guide,60,Fishing Kayak Guides
live state massachusetts financial aid college,97,College Scholarships
bbc yemeni rally president thousand yemeni demonstrating capital sanaa calling president ali abdullah,79,Yemen Day of Rage
applying financial aid groundless myth,97,College Scholarships
dutch government end official contact iran protest hanging dutch iranian woman al jazeera,42,Iran-Dutch Diplomacy Freeze
reporting arrest journalist cairo,66,Journalist Attacks in Egypt
rnc money ronald reagan birthday,100,RNC Funding Issues
charlottesville city school offering student vegetarian option lunch,102,Michelle Obama's Health Initiatives
prettyman annual fish porn provider coming fly fishing film festival bring subject called,60,Fishing Enthusiast Reports
three journalist tf detained cairo jan mubarak egypt egipto fb,66,Journalist Attacks in Egypt
egypt ripple ally yemeni prez ali abdullah saleh power year won seek term,79,Yemen Day of Rage
eastern sport outdoor harrisburg hunting fishing idea marcus schneck patrio,60,Fishing Enthusiast Reports
don care starbucks trenta cup bigger stomach,62,Starbucks Trenta Cup
al jazeera report region yemen pres extend term protest call syria,79,Yemen Day of Rage
revolt contagious anti government protest spread yemen tcot tlot jan sidibouzid,79,Yemen Day of Rage
american fishing book guide value,60,Fishing Enthusiast Reports
king speech win big dgas award season tight race social network,88,Oscar Nominations - King Speech
vw black beetle commercial favorite super bowl ad night,99,Super Bowl Commercial Highlights
canadian journalist detained harassed foreign journalist targeted cairo,66,Journalist Attacks in Egypt
sidney crosby concussion raise safety debate hockey spark discussion,84,Teen Athlete Concussions
omg oprah plege wouldn text drive didn seriously lol xd bbl,104,Texting While Driving Pledge
wlcentral yemen day rage february egypt jan yemen feb,79,Yemen Day of Rage
law suit taco bell beef filler find taco bell chihuahua,20,Taco Bell Beef Lawsuit
chipotle caught immigration crosshairs yahoo news knew genuine mexican working,80,Immigration Crackdowns
love kardashian doll fave doll khloe gt,72,Kardashian Family Popularity
elizabeth olsen sundance film festival debut sister footstep theatrical,96,Sundance Film Festival Highlights
screen actor guild award list winner sag king speech reign supreme edie falco,88,Oscar Nominations - King Speech
facebook finally offer http change setting,95,Facebook Privacy Settings
competitive fishing tactic fly everyday fisherman thinking man,60,Fishing Enthusiast Reports
creamy recipe fettuccine alfredo chicken recipe,87,Chicken Recipes
ice fishing bro brohsdahl jason mitchell byron eckhardt special ice fishing schtick,60,Fishing Enthusiast Reports
flyfishing big earth publishing flyfishing barry reynolds bass walleye buy john,60,Fishing Enthusiast Reports
interview venezuela sweetheart champion chavez venezuelan president hugo chavez speaks meeting,56,Hugo Chavez Anniversary
court emanuel eligible chicago mayor ny time pa habit sur place assez longtemps,21,Rahm Emanuel Ballot Controversy
jay carney white house press secretary richard adam guardian,44,Obama's Social Media Strategy
king speech top screen actor guild award winner mtv movie music,88,Oscar Nominations - King Speech
insurance news federal judge reject health reform law district court judge roger vinson agreed,22,Healthcare Reform Court Rulings
attorney general office identity theft prevention tip west virginia attorney general darrell mcgraw,108,Identity Theft Awareness
duraflame log beef taco bell,20,Taco Bell Beef Lawsuit
superbowl volkswagen commercial force,99,Volvo & VW Superbowl Ads
hilarious super bowl commercial,99,Super Bowl Commercial Highlights
web daily stunning slow day launch daily ipad newspaper ipad,54,Murdoch's iPad Newspaper Launch
sundance familiar territory elizabeth bank omg,96,Sundance Film Festival Highlights
hellothere king speech win sag award king speech win best actor trophy sunday bythere,88,Oscar Nominations - King Speech
reporter attacked attack journalist send message,66,Journalist Attacks in Egypt
case haven brilliant motorola xoom ad super bowl,99,Super Bowl Commercial Highlights
justin bieber address danger texting driving extreme makeover music celebrity justin bieber,104,Texting While Driving Pledge
fda approved injectable drug called makena reduce risk preterm delivery week,58,FDA Approves Preterm Birth Drug
yemeni president ruled decade ll seek extend term pas power son reuters,79,Yemen Day of Rage
brytec fly fishing box brytec fishing,60,Fishing Enthusiast Reports
aquarium fish basic plant container garden pl,60,Live Fish Aquarium
school tackling cut teen concussion,84,Teen Athlete Concussions
dont text drive,104,Texting While Driving Pledge
thousand jordan protest demand pm step day protest opposition supporter stre,38,Jordan PM Protests
novak djokovic win australian open well deserved played amazing couldn help feel andy murray,71,Australian Open Tennis Finals
bad best commercial movie trailer random urge buy doritos bud light superbowl,99,Super Bowl Commercial Highlights
type identity theft dark dragon grownup identity theft,108,Identity Theft Awareness
guided fly fishing muskegon river trout,60,Fishing Kayak Guides
love khloe alexandra kardashian biggest fan kuwait will meet,72,Kardashian Family Popularity
king speech rule obvious batch oscar bait ap,88,Oscar Nominations - King Speech
recap steve job will good time apple,106,Steve Jobs Succession News
gt annual academy award nomination announced man ve best picture noms,88,Oscar Nominations - King Speech
today stock market dow jones industrial average dji nasdaq,92,Stock Market Analysis
doctor giffords face rocky road recovery day week rep gabrielle giffords recovery,37,Gabrielle Giffords' Recovery
france fox piven defies death threat taunt anchorman glenn beck mental,40,Journalist Attacks in Egypt
reuters top news yemen president won extend term pas son,79,Yemen Day of Rage
oscar nominated gasland director josh fox gas drilling barnett shale dallas observer blog,109,Gasland Documentary Critique
full video super bowl national anthem singer christina aguilera fail imalive,75,Christina Aguilera's Anthem Fail
political power social medium foreign affair,45,Obama's Social Media Strategy
identity theft steal social security number theft,108,Identity Theft Awareness
complete book fly fishing,60,Fishing Enthusiast Reports
college best financial aid arizona state university,97,College Scholarships
spreading thousand protest jordan demand pm step aljazeera net,38,Jordan PM Protests
manchester austerity cut hit frontline service leisure centre library swimming pool public toile,51,Manchester Austerity Cuts
thing social medium revolution,45,Obama's Social Media Strategy
best buy launch electronics buy program ap,85,Best Buy Electronics Buy Program
social network king speech aim oscar ap ap academy award voter poised set showd,88,Oscar Nominations - King Speech
ticker thousand yemeni call president quit,79,Yemen Day of Rage
australian open final novak djokovic andy murray live blog bleacher report contributor scott,71,Australian Open Tennis Finals
yemen republican guard dispatched roaming street sana reliable source,79,Yemen Day of Rage
cbc ticker southeast australia brace flood australia deadly flood crisis forced people,98,Australia Flood Crisis
fda approves pharma preterm birth drug embattled drugmaker pharmaceutical reported health reg,58,FDA Approves Preterm Birth Drug
acai berry weight loss confusing helen arsenault january talk mogul op,55,Acai Berry Diet
