task,comment,topic,pred_topic
clinc,how can i increase my credit score,improve credit score,credit score improvement
clinc,how can i raise my credit score,improve credit score,credit score improvement
clinc,how can i contribute to my credit score,improve credit score,credit score improvement
clinc,how is it possible to get a better credit score,improve credit score,credit score improvement
clinc,how can i up my credit score,improve credit score,credit score improvement
clinc,can you explain to me how i might boost my credit score,improve credit score,credit score improvement
clinc,my credit score stinks but i don't know how to improve it,improve credit score,credit score improvement
clinc,what preventative measures can i take to avoid a low credit score,improve credit score,credit score improvement
clinc,how can i keep my credit score from falling,improve credit score,credit score improvement
clinc,give me some ideas for boosting my credit score,improve credit score,credit score improvement
clinc,how can i prevent my credit score from dropping,improve credit score,credit score improvement
clinc,what steps can i take to build my credit score,improve credit score,credit score improvement
clinc,give me some tips on building up my credit score,improve credit score,credit score improvement
clinc,how can i rehabilitate my poor credit score,improve credit score,credit score improvement
clinc,give me some ideas of how to avoid my credit score lowering,improve credit score,credit score improvement
clinc,give me tips on improving my credit score,improve credit score,credit score improvement
clinc,what steps should i take if i want to ensure my credit score doesn't drop,improve credit score,credit score improvement
clinc,can you tell me some strategies for raising my credit score,improve credit score,credit score improvement
clinc,i want to know how i can build up a good credit score,improve credit score,credit score improvement
clinc,"""what's the method to improve credit score",improve credit score,credit score improvement
clinc,"""which is the best way to improve the credit score",improve credit score,credit score improvement
clinc,"""which could be improve the credit score",improve credit score,credit score improvement
clinc,"""when the credit score improve",improve credit score,credit score improvement
clinc,"""where is improve the credit score",improve credit score,credit score improvement
clinc,it is damaging to my credit score if i miss one credit card payment,improve credit score,credit score improvement
clinc,i have a revolving store card and defaulted so will my fico score be affected,improve credit score,credit score improvement
clinc,will my fico score decrease if i increase my student loan debt,improve credit score,credit score improvement
clinc,if i lose my job will my credit score go down,improve credit score,credit score improvement
clinc,can i hurt my credit rating if i open several credit cards in a short time frame,improve credit score,credit score improvement
clinc,will only having five late payments really make my credit bad,improve credit score,credit score improvement
clinc,name unusual facts about the circus,fun fact,fun facts
clinc,i need interesting baseball trivia from the nineteen eighties,fun fact,fun facts
clinc,tell me a fun fact about cars,fun fact,fun facts
clinc,give me a fun fact about kangaroo,fun fact,fun facts
clinc,give me a fun fact about koala,fun fact,fun facts
clinc,give me a fun fact about dolphin,fun fact,fun facts
clinc,what is some trivia about frog,fun fact,fun facts
clinc,tell me fun facts of today,fun fact,fun facts
clinc,give me something interesting about stars,fun fact,fun facts
clinc,what is some trivia question about coffee,fun fact,fun facts
clinc,tell me some trivia about sweat,fun fact,fun facts
clinc,tell me some trivia about dolphin,fun fact,fun facts
clinc,what is some trivia about the weather,fun fact,fun facts
clinc,give me a fun fact about komodo dragon,fun fact,fun facts
clinc,give me a amusing fact about wolf,fun fact,fun facts
clinc,what is the interesting trivia about human bodies,fun fact,fun facts
clinc,tell me today's fun fact,fun fact,fun facts
clinc,i want today's fun fact please,fun fact,fun facts
clinc,what is today's fun fact,fun fact,fun facts
clinc,today's fun fact,fun fact,fun facts
clinc,i want a fun fact about london,fun fact,fun facts
clinc,tell me something interesting about bees,fun fact,fun facts
clinc,i would you like to learn something interesting about bees,fun fact,fun facts
clinc,i want to hear cool bee facts,fun fact,fun facts
clinc,what's something interesting about bees,fun fact,fun facts
clinc,i wanna hear something cool about bees,fun fact,fun facts
clinc,tell me fun facts on science topics,fun fact,fun facts
clinc,tell me fun science facts,fun fact,fun facts
clinc,i want to know fun facts about koala bears,fun fact,fun facts
clinc,please speak in tagalog,change language,place a call
clinc,speak in german,change language,language preferences
clinc,speak to me in dutch,change language,language preferences
clinc,speak in french please,change language,language preferences
clinc,speak spanish please,change language,language preferences
clinc,i am not understanding the language you are responding in; switch it for me,change language,language preferences
clinc,i can't understand the language you are responding in; i need you to switch it,change language,language preferences
clinc,i need you to switch the language you are responding as i don't understand,change language,language preferences
clinc,i don't understand your language; switch the language,change language,language preferences
clinc,i need you to switch the language you are responding in,change language,language preferences
clinc,i'd like to speak in portuguese,change language,language preferences
clinc,can we speak in german,change language,language preferences
clinc,i want to use spanish with you,change language,language preferences
clinc,please let's speak in spanish,change language,language preferences
clinc,please can we speak in dutch,change language,language preferences
clinc,can you make the default language swedish,change language,language preferences
clinc,is it possible to talk to you in mandarin,change language,language preferences
clinc,would you understand me if i speak to you in navajo,change language,language preferences
clinc,i'd like the language to be in spanish,change language,language preferences
clinc,i'd like to use you using russian,change language,language preferences
clinc,can i speak spanish to you hombre,change language,language preferences
clinc,i want to start talking to you in swedish,change language,language preferences
clinc,can i get you to change your language setting to russian,change language,language preferences
clinc,please make your language setting norwegian,change language,language preferences
clinc,i am going to speak english now,change language,language preferences
clinc,i want to talk english,change language,language preferences
clinc,we have to speak in english,change language,restaurant taco buffet
clinc,speak in dutch,change language,language preferences
clinc,i want to speak to you in swiss german,change language,language preferences
clinc,how long until my paycheck shows up,payday,next pay day
clinc,can you tell me the date of my last check,payday,spending history
clinc,what was the date when i last go paid,payday,next pay day
clinc,what's the date on my last pay stub,payday,date queries
clinc,when can i expect my paycheck,payday,next pay day
clinc,when is the next time i'll receive a paycheck,payday,next pay day
clinc,when did i last collect my salary,payday,next pay day
clinc,when do i next get paid,payday,next pay day
clinc,when is my paycheck arriving,payday,next pay day
clinc,what day is payday,payday,next pay day
clinc,do you know when my next check is coming,payday,next pay day
clinc,when do i get my next paycheck,payday,next pay day
clinc,when's pay day for me,payday,next pay day
clinc,i need to know when i get paid next,payday,next pay day
clinc,when's my next pay day,payday,next pay day
clinc,what day's my pay coming next,payday,next pay day
clinc,when do i get paid for my work,payday,next pay day
clinc,look up when my payday is supposed to be,payday,next pay day
clinc,when can i expect to be paid,payday,next pay day
clinc,look up the date for my next payday,payday,next pay day
clinc,what day will i earn my payment from work,payday,next pay day
clinc,find out when my next upcoming payday will be,payday,next pay day
clinc,when is the next payday i can look forward to,payday,next pay day
clinc,what day can i expect to receive payment on,payday,next pay day
clinc,when will my next paycheck be coming,payday,next pay day
clinc,when will my payment be deposited,payday,next pay day
clinc,when do i get my next pay check,payday,next pay day
clinc,is it payday,payday,next pay day
clinc,do you know when i'll receive my next paycheck,payday,next pay day
clinc,what date do i get paid,payday,next pay day
clinc,how long does it take for a credit card to be reissued and mailed to me,replacement card duration,credit card replacement time
clinc,can credit card companies expedite delivery of reissued credit cards,replacement card duration,credit card replacement time
clinc,how can i request a new credit card,replacement card duration,new credit card application
clinc,i recently lost my credit card and need to know how long it takes to get a new one mailed to me,replacement card duration,credit card replacement time
clinc,i need to know the time it takes to get a new credit card sent to someone who lost theirs,replacement card duration,credit card replacement time
clinc,i lost my credit card recently  how long does take to get a new one in the mail,replacement card duration,credit card replacement time
clinc,what is amount of time it takes to get a new credit card i lost mine recently,replacement card duration,credit card replacement time
clinc,what is the time frame for sending a customer who lost their credit card a new one,replacement card duration,credit card replacement time
clinc,will i get getting my new card anytime soon,replacement card duration,credit card replacement time
clinc,what is the shipping status of my replacement card,replacement card duration,credit card replacement time
clinc,how long until i get my replacement card,replacement card duration,credit card replacement time
clinc,when is my new card expected to arrive,replacement card duration,credit card replacement time
clinc,is my replacement card due to arrive in the mail today,replacement card duration,credit card replacement time
clinc,how long before my new card is mailed to me,replacement card duration,credit card replacement time
clinc,what is the shipping time for my card,replacement card duration,credit card replacement time
clinc,how much time before my new card is mailed to me,replacement card duration,credit card replacement time
clinc,how long does it take to get a new credit card,replacement card duration,credit card replacement time
clinc,time to order and receive a new credit card,replacement card duration,credit card replacement time
clinc,when will i received a replacement card,replacement card duration,credit card replacement time
clinc,time to replace my credit card,replacement card duration,reporting lost card
clinc,how long before the replacement card is mailed to me,replacement card duration,credit card replacement time
clinc,how much longer before the card is mailed to me,replacement card duration,credit card replacement time
clinc,how long will it takes to get a new credit card,replacement card duration,credit card replacement time
clinc,what is the shipping wait for my card,replacement card duration,credit card replacement time
clinc,when will the replaecment card arrive,replacement card duration,credit card replacement time
clinc,let me know the wait on a replacement credit card,replacement card duration,credit card replacement time
clinc,let me know when the replacement card will arrive,replacement card duration,credit card replacement time
clinc,how soon can i expect a replacement card for my lost card to arrive,replacement card duration,credit card replacement time
clinc,i need you to tell me what time it is in new york now,time,current time inquiries
clinc,"what time is it in adelaide, australia right now",time,current time inquiries
clinc,is it after noon,time,current time inquiries
clinc,is it six o clock yet,time,current time inquiries
clinc,please give me the time in tanzania at this moment,time,current time inquiries
clinc,can you tell me the current time in jamaica,time,current time inquiries
clinc,"tell me the time in san francisco, please",time,current time inquiries
clinc,"what time is it right now in adelaide, australia",time,current time inquiries
clinc,what time is it in the eastern timezone,time,current time inquiries
clinc,what time is it in the mountain timezone,time,current time inquiries
clinc,what time is it in the greenwich timezone,time,timezone inquiries
clinc,what time is it in the central timezone,time,current time inquiries
clinc,tell me what the time is in dallas,time,current time inquiries
clinc,what is the current time in dallas,time,current time inquiries
clinc,can you tell me what time it is in dallas,time,current time inquiries
clinc,what time is it in dallas,time,current time inquiries
clinc,tell time for another city: dallas,time,current time inquiries
clinc,what time is it right now at home,time,current time inquiries
clinc,what’s the time in new york,time,current time inquiries
clinc,tell me the time in california,time,current time inquiries
clinc,tell me the time in las vegas,time,current time inquiries
clinc,what is the time is central time zone,time,timezone inquiries
clinc,what is the time in the usa,time,current time inquiries
clinc,what is the time in est,time,current time inquiries
clinc,whats the exact time,time,current time inquiries
clinc,what is the current time,time,current time inquiries
clinc,what's the current time,time,current time inquiries
clinc,what time is it in california,time,current time inquiries
clinc,please give me the time,time,current time inquiries
clinc,the time is what,time,current time inquiries
clinc,how is the status of my credit card application coming along,application status,credit card application status
clinc,what exactly is the status of my application for the credit card,application status,credit card application status
clinc,i need to know the status of my credit card application,application status,credit card application status
clinc,i would like to know the status of my credit card application,application status,credit card application status
clinc,let me know if my application for american saving bank,application status,credit card application status
clinc,check the status of my credit card application for me,application status,credit card application status
clinc,i want to know if my credit card application has been processed,application status,credit card application status
clinc,i want to know the status of my credit card application,application status,credit card application status
clinc,can you check if my credit card application has been processed,application status,credit card application status
clinc,i want to know how is my credit card application going,application status,credit card application status
clinc,can you let me know the status of my discover credit card application status,application status,credit card application status
clinc,can you tell me the status of my credit card application,application status,credit card application status
clinc,has my application for american express gone through yet,application status,credit card application status
clinc,let me know about the status of my credit card application,application status,credit card application status
clinc,can you please tell me about the status of my credit card application,application status,credit card application status
clinc,can you please let me know the status of my capital one application,application status,credit card application status
clinc,let me know the credit card application status,application status,credit card application status
clinc,has my application for discover card gone through yet,application status,credit card application status
clinc,can you tell me the credit card application status,application status,credit card application status
clinc,has my application for the hsbc card been approved yet,application status,credit card application status
clinc,please tell me if my application for the hsbc card has gone through yet,application status,credit card application status
clinc,how far has my application for the hsbc card gone till now,application status,credit card application status
clinc,what's the status on my application for the hsbc credit card,application status,credit card application status
clinc,how far has my application for the hsbc card proceeded till now,application status,credit card application status
clinc,did the application for my visa card finish,application status,credit card application status
clinc,has my mastercard application gone through the process,application status,credit card application status
clinc,has my mastercard application gone through yet,application status,credit card application status
clinc,has my application for my visa card gone through,application status,credit card application status
clinc,has my mastercard application been processed,application status,credit card application status
clinc,when will i know if my visa card application was approved,application status,credit card application status
clinc,what's the status of by delta flight,flight status,flight status
clinc,what's the status of my virgin airlines flight,flight status,flight status
clinc,what's the status of my jetblue flight,flight status,flight status
clinc,what's the status of my southwest flight,flight status,flight status
clinc,what's the status of my american airlines flight,flight status,flight status
clinc,what's the news with my delta flight,flight status,flight status
clinc,where is my delta flight,flight status,flight status
clinc,what can you tell me about flight dl123,flight status,flight status
clinc,where is flight dl123,flight status,flight status
clinc,has flight dl123 left,flight status,flight status
clinc,is flight dl123 going to arrive on time,flight status,flight status
clinc,is my spirit flight running on time,flight status,flight status
clinc,what's the status for my delta flight this afternoon,flight status,flight status
clinc,give me the status on my united airlines flight,flight status,flight status
clinc,what's up with my american airline flight will it be on time,flight status,flight status
clinc,tell me what the status is for my aa flight,flight status,flight status
clinc,i need for you to get me the status of my american airlines flight,flight status,flight status
clinc,tell me the status of my american airlines flight,flight status,flight status
clinc,i need to know the status of my american airlines flight,flight status,flight status
clinc,would you let me know the status of my american airlines flight,flight status,flight status
clinc,let me know the status of my american airlines flight,flight status,flight status
clinc,has flight dl123 landed,flight status,flight status
clinc,"is my flight, dl123 on time",flight status,flight status
clinc,how far out is flight dl123,flight status,flight status
clinc,is flight dl123 delayed,flight status,flight status
clinc,what time is boarding scheduled,flight status,flight status
clinc,when is boarding scheduled,flight status,flight status
clinc,what time is boarding for my flight,flight status,flight status
clinc,when is boarding scheduled for my flight,flight status,flight status
clinc,when is my flight scheduled to board,flight status,flight status
clinc,flip a coin for me and i call heads,flip coin,coin flip
clinc,can you flip a coin for me,flip coin,coin flip
clinc,give me the results of a coin flip,flip coin,coin flip
clinc,please flip a coin for me,flip coin,coin flip
clinc,please flip a coin for me ai,flip coin,coin flip
clinc,flip a coin and tell me if it's heads,flip coin,coin flip
clinc,"ai, flip a coin for me",flip coin,coin flip
clinc,"ai, please flip a simulated coin",flip coin,coin flip
clinc,let's flip a coin i choose heads,flip coin,coin flip
clinc,can you please do a simulated coin flip for me ai,flip coin,coin flip
clinc,flip a coin i choose heads,flip coin,coin flip
clinc,flip a coin i'm calling heads,flip coin,coin flip
clinc,can you do a coin flip for me ai,flip coin,coin flip
clinc,i want you to flip a coin i choose heads,flip coin,coin flip
clinc,just toss a coin,flip coin,coin flip
clinc,just flip a coin,flip coin,coin flip
clinc,throw a coin in the air,flip coin,coin flip
clinc,flip a coin into the air,flip coin,coin flip
clinc,"heads, coin flip",flip coin,coin flip
clinc,"flip coin, heads!",flip coin,coin flip
clinc,"flip a coin, i call heads!",flip coin,coin flip
clinc,"coin flip, choose heads",flip coin,coin flip
clinc,"please flip a coin, i choose heads!",flip coin,coin flip
clinc,can you flip a coin i call heads,flip coin,coin flip
