comment,topic,cluster,pred_topic
king speech top film producer award ap ap king speech claimed crown be,88,45,Awards season: Oscars and SAG
sag prediction award tracker hmmmm,88,11,Awards season: Oscars and SAG
kia spent lot money optimum superbowl commercial,99,48,Mercedes Benz and Kia Superbowl commercials
doritos commercial raising dead best night superbowl nfl,99,68,Epic Doritos Superbowl commercials
idf intelligence chief iran nuclear bomb year haaretz,73,70,Iran’s political and legal actions
yeah don csis nciss enjoy mentalist,77,55,Crime-solving TV shows
uk robert kubica injured rally accident italian polish medium,11,20,Natural disasters and climate change
breaking news king speech take top honor hollywood actor honor best sunday night annual screen ac,88,39,Awards season: Oscars and SAG
obamacare reagan appointed federal district judge florida ruled key portion obama,22,69,Healthcare reform legal battles
st tunisia egypt yemen,79,21,Middle East protests
best superbowl commercial year chrysler comeback,99,5,Super Bowl commercials
horrible journalist attacked detained egypt yahoo news,66,22,Egypt-related political news
list journalist hurt harassed egypt,66,25,Egyptian protests and museum protection
famous facebook flip flop social networking goliath number hasty move year,95,22,Facebook and privacy settings
yikes list journalist attacked egypt hour abc news,66,25,Egypt-related political news
lady press ahead fitness campaign daily caller obama tell abc good morning america,65,47,Lady Michelle Obama fitness campaign
judge rule obama health care law,22,35,Healthcare reform legal battles
watch christina aguilera screw national anthem super bowl post,75,67,Christina Aguilera’s national anthem mishap
acai berry powder content health weight loss hard figure,55,27,Weight-loss advice and fat-burning foods
facebook privacy setting user,95,53,Facebook and privacy settings
taco bell beef convenience cost,20,3,Taco Bell lawsuit
jordan thousand protest demand pm step wave mass protest arab spread opposition supporter,38,85,Middle East protests
yap palau sport fishing promotional sport fishing video produced video rating,60,81,Fishing events and gear
court third party bias protection broad washington jan upi supreme court ruled unanimously,89,26,Healthcare reform legal battles
yell cast jr hartley ad digital era author search fly fishing book dj hunt book read,60,81,Fishing events and gear
boatsshopping fishing headline oklahoma metro trout fishing pond instructional clinic pave exciting winter angling html,60,66,Fishing events and gear
three ton striped bass seized illegal fishing net,60,81,Fishing events and gear
federal judge strike health care reform call insurance purchase mandate aba journal,22,35,Healthcare reform legal battles
love khloe kardashian,72,55,Kardashians
fighter king speech lead nominee tonight sag award beverly hill courier,88,45,Awards season: Oscars and SAG
check video christina aguilera super bowl national anthem mistake mess err,75,65,Christina Aguilera’s national anthem mishap
murray djokovic happened,71,60,Australian Open tennis championship
pressure grows myanmar sanction call growing western sanction myanmar,110,87,Myanmar sanctions and political transitions
poll gop catch dems social medium,45,63,Social media for politics
nobel war prize wikileaks nuke fired cablegate wikileaks assange anonymous,12,78,Invalid
bbc news police lose officer,51,18,Joanna Yeates murder case
lololol doritos pepsi max killing superbowl commercial,99,44,Super Bowl ad reviews
federal judge healthcare law,22,35,Healthcare reform legal battles
king speech notch top director award movie running darren aronofsky,88,45,Awards season: Oscars and SAG
yummy recipe tuesday chicken fricasse,87,16,Chicken recipes for dinner
secret natural weight loss food acai berry benefit,55,27,Weight loss and acai berry products
job wrong place memo president dear president state union add,32,18,Job market and unemployment rate
employment gaining speed jobless rate,26,80,Job market and unemployment rate
ten thousand yemeni protest sanaa ten thousand yemeni staged day rage calling,79,85,Middle East protests
awful watched don text drive video driving class,104,61,Safe driving pledges
netgear bos astonishing attack steve job,106,51,Steve Jobs’ health and impact on Apple
bronco christina aguilera flub national anthem kmgh denver,75,67,Christina Aguilera’s national anthem mishap
governor proposes sweeping cut funding york school medicaid program slashed,19,32,Healthcare reform legal battles
check article fox news sideline test detect concussion minute,84,11,Concussions and sports injuries
eye will definetely glued tv screen love kardashians,72,55,Kardashians
don text drive pledge,104,61,Safe driving pledges
fishing technique fishing maine surf fishing striped bass,60,28,Fishing
tsa unveils body scanner software doesn naked alternet,25,11,TSA body scanners
oscar king speech haven black swan,88,39,Awards season: Oscars and SAG
teen creates anti bullying school program,90,49,Social media for politics
bedbug rapidly evolving fight pesticide tech news,52,22,Bed bugs issue
super bowl commercial report card ranking winner loser bleacher report,99,52,Super Bowl ad reviews
fast food caught immigration crosshairs reuters,80,82,Fast food and immigration policies
vice president communication director jay carney named white house press secretary,44,26,Social media for politics
high court third party sue retaliation case,89,76,Healthcare reform legal battles
kold aguilera repeat national anthem,75,6,Christina Aguilera’s national anthem mishap
volkswagon commercial superbowl,99,34,Super Bowl commercials
deadbedbugs fact bed bug cover,52,11,Bed bugs issue
gross taco bell sued bogus beef,20,3,Taco Bell lawsuit
great bbc piece summarising unrest north africa middle east,79,22,Middle East protests
sidney crosby concussion rule change braine hope pray doesn sight,84,82,Concussions and sports injuries
charlie sheen leaf hospital medical emergency,68,12,Charlie Sheen controversies
trenta cup hold entire bottle wine wrong,62,19,Starbucks Trenta cup controversy
healthy school food pay save attention going,102,77,Lady Michelle Obama fitness campaign
post financial aid college lt gt financial advice lt gt popular lt gt lt gt,97,82,College scholarships and financial aid
teacher talking texting driving haaayy,104,61,Safe driving pledges
financial aid help woman school hispanic scholarship,97,75,College scholarships and financial aid
mubarak silencing voice egypt journalist targeted read jan tahrir,66,25,Egypt-related political news
video favorite superbowl commercial cute,99,84,Super Bowl commercials
remember alex brown,104,86,Safe driving pledges
enjoyed vw beetle commercial superbowl favorite,99,84,Super Bowl commercials
join campaign texting driving save life future will help,104,61,Safe driving pledges
crazy lake shore drive downtown chicago shut,57,43,Chicago blizzard: Historic snowstorm
blog post potential replacement steve job apple,106,51,Steve Jobs’ health and impact on Apple
acai berry chocolate tasting weight loss diet plan adi news scientifically prov,55,71,Weight-loss diets and acai berry
red cabbage add color noodle salad soba salad chicken cabbage,87,83,Chicken recipes and food ideas
boosting america fashion,91,47,Kardashians
news workshop preventing bullying positive behavior support school,90,49,Lady Michelle Obama fitness campaign
yemen president won election,79,14,Yemen protest news
best buy launch electronics buy program ap ap timing shopping gadget,85,1,Electronics and gadgets
force strong great ad volkswagon superbowl commercial,99,34,Super Bowl commercials
dragon cute drinking cola superbowl cocacola commercial,99,44,Super Bowl commercials
latest headline king speech lead oscar field british star colin firth helena bonham carter nominate,88,4,Awards season: Oscars and SAG
klassy breeze music blog black eyed aguilera love,75,47,Christina Aguilera’s national anthem mishap
journalist social medium report egyptian demonstration journalist,45,25,Egyptian protests and museum protection
hooper earns top dga prize king speech hooper won david fincher social network,88,45,Awards season: Oscars and SAG
ap maker academy award favorite social network king speech competi,88,45,Awards season: Oscars and SAG
congrats novak djokovic played brilliant tennis definitely deserve title,71,60,Australian Open tennis championship
breaknews yemen street day rage yemeni filled street sanaa,79,21,Middle East protests
protest start yemen despite concession president hundred anti government protest,79,21,Yemen protests intensify
al jazeera journalist detained cairo police hotel room equipment confiscated jan,66,25,Egypt-related political news
update michael steele resigns rnc,100,18,RNC and Ronald Reagan celebrations
egypt yemen demand change government well gt news tcot,79,22,Middle East protests
orange student dish school lunch white house chef orlando sentinel fl schoollunch letsmove,102,16,Lady Michelle Obama fitness campaign
successful ice fishing perch depth finder successful ice,60,8,Fishing events and gear
acai berry weight loss diet plan healthy weight reduction number diet plan,55,71,Weight-loss diets and acai berry
thought beef lawsuit pr response,20,3,Taco Bell lawsuit
chris hemsworth lead celebrity storm tao sundance ministry appreciates sundance film festival founder,96,59,Sundance Film Festival
chipotle face ice inspection state reuters reuters chipotle mexican grill,80,3,Fast food and immigration policies
love kim kardashian ur hot wooohoooo lol,72,55,Kardashians
ten thousand march yemen president sanaa yemen ten thousand lukewilliamss,79,85,Yemen protests intensify
best commercial super bowl imported detroit best,99,84,Super Bowl commercials
late night time watch crime solving tv ncis csi sky looooove,77,0,Crime-solving TV shows
doritos commercial vote funniest superbowl commercial,99,68,Epic Doritos Superbowl commercials
budweiser wild west tiny dancer commercial definitely favorite superbowl,99,15,Budweiser and beer-related ads
best deal fishing bait lure ebay best price,60,81,Fishing events and gear
fallon follow tip save energy included site tip will help beat hig,27,77,Energy saving tips
uk foreign office urgently checking briton caught explosion uk news,36,87,Moscow airport bombing
government spending cut leave north east forestry commission base saveourforests,51,32,Beaver Projects King Forests
starbucks trenta hold entire bottle wine people cougartown,62,19,Starbucks Trenta cup controversy
interested giffords improves watch hour tv gabrielle giffords watched hour television,37,29,Crime-solving TV shows
doc river ll wait chris forsberg boston celtic captain paul pierce departed thursday,67,59,Celebrity gossip and pop culture
facebook privacy setting user,95,53,Facebook and privacy settings
daily review murdoch ipad newspaper rupert murdoch ipad launch daily offer glitzy graphic,54,1,Electronics and gadgets
commercial video eminem lipton brisk super bowl commercial,99,41,Super Bowl commercials
updated rehab aim giffords life,37,29,Charlie Sheen controversies
breakingnews looter broke museum destroyed pharaonic mummy late friday nation top archaeologist reuters egypt,10,7,Egyptian protests and museum protection
grant fishing smile set grant arizona game fish department ki,60,66,Fishing events and gear
tech cnn hack facebook unlocks security facebook adding security feature,95,38,Facebook and privacy settings
black swan amazing natalie portman deserves award doubt will,101,54,Black Swan and Natalie Portman
recipe chicken cutlet,87,16,Chicken recipes and food ideas
favorited youtube video gm chevy super bowl commercial bumblebee,99,84,Super Bowl commercials
thousand protest jordan middle east,38,85,Middle East protests
sundance today tobey maguire demi moore kate bosworth tobey maguire waitin,96,72,Sundance Film Festival
extraordinary stuff arrested beaten egypt police,66,25,Egyptian protests and museum protection
florida top freshwater fishing destination,60,28,Fishing events and gear
best fly fishing website,60,81,Fishing bait secrets and auction sites
weight loss diet plan living healthy acai berry adi news acai berry promote weight loss imp,55,71,Weight loss and acai berry products
super bowl commercial,99,52,Super Bowl commercials
asia center graduate summer grant harvard university usa beasiswa scholarship,97,78,Scholarships and international awards
yemen girds day rage saleh vow step bloomberg,79,21,Yemen protest news
king speech lead academy award nomination including best picture,88,39,Awards season: Oscars and SAG
freemont tribune safety tip atm tip safety,108,11,Energy saving tips
man charged joanna yeates murder,86,76,Joanna Yeates murder case
internet news steve job medical problem affect apple stock latest internet news steve job,106,51,Steve Jobs’ health and impact on Apple
gop voter active social networking site political purpose washing artimpactnetpr,45,63,Social media for politics
obama campaign playbook promote agenda social medium,45,40,Social media for politics
don text drive makeachange,104,61,Safe driving pledges
yemen arrest anti government activist yemen,79,21,Yemen protest news
king speech win top honor director guild award,88,45,Awards season: Oscars and SAG
mobile market grew smartphones android driver will drive marke,81,1,Electronics and gadgets
fishing report fishnotes caught bass gofishn,60,81,Fishing
uk news lady take campaign childhood obesity army base,65,47,Lady Michelle Obama fitness campaign
watch rite free movie online movie online,14,36,Movies on exorcism
fly box folly north american fly fishing forum ongoing effort achieve system perfection,60,81,Fishing events and gear
king speech dominates sag award win best picture osacrs sagawards thekingsspeech,88,45,Awards season: Oscars and SAG
arizona bid block citizenship illegal immigrant anchor baby tcot tlot,82,26,Fast food and immigration policies
acai berry diet sexy acai berry scam warning acai berry diet,55,27,Weight loss and acai berry products
lmao didn feistyoldpeople chevy commercial superbowl,99,34,Super Bowl commercials
mouratoglou murray djokovic classic yahoo,71,60,Australian Open tennis championship
endsmeat christina aguilera mess lyric national anthem super bowl,75,67,Christina Aguilera’s national anthem mishap
wilmington nc inshore winter fishing report,60,28,Fishing
oscar nomination full list academy award nominee,88,33,Awards season: Oscars and SAG
indicator point great fall steelhead fishing,60,66,Fishing
yemen protest intensify arrest journalist tawakkol karman,79,21,Yemen protest news
rash report social medium tool social unrest john rash tunisian mohamed bouazizi cou,45,25,Social media for politics
commerce bos immigration reform,82,26,Fast food and immigration policies
acai berry diet side effect lose weight fast acai berry diet side effe,55,71,Weight-loss diets and acai berry
great win packer christina land blunder,75,65,Christina Aguilera’s national anthem mishap
celebrity gossip fishing madison river montana,60,8,Fishing
conan blast christina super bowl anthem blunder time,75,65,Christina Aguilera’s national anthem mishap
identity theft cost create problem business deal reaching fake provider showz,108,10,Identity theft concerns
florida judge strike obamacare america,22,69,Healthcare reform legal battles
king speech rule obvious batch oscar bait news cnews canada,88,82,Awards season: Oscars and SAG
check price fly fishing lure ebay store info,60,81,Fishing events and gear
debt consolidation help avoid bankruptcy debt consolidation involves single loan,74,57,Consumer debt consolidation
acai berry acai berry juice weight loss,55,27,Weight loss and acai berry products
daddy prefers vw commercial messing mini darth superbowl dadstalking,99,84,Super Bowl commercials
slow news day chicago ll live bloggin mayoral debate cdt,21,46,Rahm Emanuel ballot case
super bowl commercial coca cola commercial coke,99,44,Super Bowl commercials
wished looked lucy hale kourtney kardashian pretty,72,55,Kardashians
reuters celebs hollywood actor honor king speech los angeles reuters oscar front runner king,88,39,Awards season: Oscars and SAG
best recipe caesar salad caesarsalad,87,83,Chicken recipes and food ideas
school tackling cut teen concussion bull ring drill football,84,49,Concussions and sports injuries
reason acai berry weight loss diet case half popula,55,71,Weight-loss advice and fat-burning foods
court allows emanuel ballot chicago mayor nytimes tlot news illinois dems,21,46,Rahm Emanuel ballot case
trout steelhead fly fishing supply stretched canvas poster steelhead trout image,60,66,Fishing
fatal blast reported moscow airport terminal russian authority monday reported fatal explosion,36,17,Moscow airport bombing
simple easy prepare vintage fried chicken recipe,87,16,Chicken recipes and food ideas
huffingtonpost sundance film festival james franco three company installation,96,30,Sundance Film Festival
australia flooding cost enormous,98,50,Natural disasters and climate change
win djokovic won australian open,71,60,Australian Open tennis championship
cnn killed injured terror blast moscow airport terrorist suicide bomber blamed mosco,36,17,Moscow airport bombing
fishing bait bait trout fishing trout fishing type equipment dictate,60,66,Fishing events and gear
actress farmiga sundance directing debut reuters reuters vera farmiga big breakout,96,72,Sundance Film Festival
dc medium opt tea party tea party caucus remains vigilant teaparty tcot tlot gop dem,103,9,Social media for politics
youtube video eminem lipton brisk super bowl commercial,99,41,Super Bowl commercials
jordan protester gather country demanding prime minister step al jazeera,38,85,Middle East protests
credit card debt consolidation gt credit card studentloans info conso,74,57,Consumer debt consolidation
sow bug round north american fly fishing forum time march mountain,60,8,Fishing events and gear
meat high quality mediapost beef brouhaha taco bell buzz suffering mediapost,20,3,Taco Bell lawsuit
clinton bugun misir hk nededi secretary clinton condemns attack demonstrator journalist egypt vide jan,66,26,Egypt-related political news
weight loss diet plan south american acai berry currently american lose,55,71,Weight-loss diets and acai berry
acai berry weight loss diet plan healthy weight reduction,55,71,Weight-loss diets and acai berry
missouri court rule immigrant adoption right terminated illegally missouri supreme court tuesday ove,82,42,Fast food and immigration policies
king speech usurps throne oscar leader ap,88,39,Awards season: Oscars and SAG
coming airport modesty change,25,24,Moscow airport bombing
super bowl national anthem singer christina aguilera fail video,75,65,Christina Aguilera’s national anthem mishap
chrysler telling story well check chrysler commercial imported detroit,99,5,Super Bowl commercials
top story illinois supreme court rahm emanuel ballot illinois supreme court issued ruling,21,46,Rahm Emanuel ballot case
weight loss diet acai berry weight loss diet plan diet diet food weight loss beauty sally beauty bea,55,71,Weight-loss diets and acai berry
entent complete list nomination annual academy award,88,33,Awards season: Oscars and SAG
hella funnny drt superbowl funniest doritos commercial,99,68,Epic Doritos Superbowl commercials
undergraduate scholarship international college hotel management australia beasiswa schola,97,78,Scholarships and international awards
hott cold sundance film festival lola blog,96,23,Sundance Film Festival
discus fish aquarium,60,74,Aquariums and pet care
netherlands recall iran ambassador dutch woman execution foreign policy outrage,42,70,Iran’s political and legal actions
video volkswagen invades super bowl darth vader starwars superbowl,99,37,Super Bowl commercials
best buy launch electronics buy program,85,1,Electronics and gadgets
workshop offer help student aid form regional workshop open help faf,97,75,College scholarships and financial aid
drive text,104,61,Safe driving pledges
heard acai berry diet acai berry heard diet purchasing,55,71,Weight-loss diets and acai berry
continuing cooking winning streak awesome lemon fennel pot roast chicken chicken boring,87,83,Chicken recipes for dinner
red fishing knot book book fishing harry,60,81,Fishing
wikileaks pushed uk sanction iranian bank cable view britain settin jpost,110,87,Iran’s political and legal actions
king speech wint twee screen actor guild award,88,45,Awards season: Oscars and SAG
beck rating plummeted,59,42,Charlie Sheen controversies
aaron rodgers helmet saved concussion bear green bay packer qb aaron rodgers believ,84,82,Concussions and sports injuries
don text drive,104,61,Safe driving pledges
aguilera repeat national anthem,75,6,Christina Aguilera’s national anthem mishap
facebook privacy setting user,95,53,Facebook and privacy settings
watching superbowl darth vader commercial awesome love dude,99,84,Super Bowl commercials
ncis stupidest fucking television,77,0,Crime-solving TV shows
international scholarship bangor university uk beasiswa scholarship,97,78,Scholarships and international awards
fish eat complete fishing guide,60,66,Fishing events and gear
live state massachusetts financial aid college,97,75,College scholarships and financial aid
bbc yemeni rally president thousand yemeni demonstrating capital sanaa calling president ali abdullah,79,21,Yemen protest news
applying financial aid groundless myth,97,57,College financial aid insights
dutch government end official contact iran protest hanging dutch iranian woman al jazeera,42,70,Iran’s political and legal actions
reporting arrest journalist cairo,66,25,Egypt-related political news
rnc money ronald reagan birthday,100,4,RNC and Ronald Reagan celebrations
charlottesville city school offering student vegetarian option lunch,102,66,Chicken recipes and food ideas
prettyman annual fish porn provider coming fly fishing film festival bring subject called,60,81,Fishing events and gear
three journalist tf detained cairo jan mubarak egypt egipto fb,66,25,Egypt-related political news
egypt ripple ally yemeni prez ali abdullah saleh power year won seek term,79,14,Yemen protest news
eastern sport outdoor harrisburg hunting fishing idea marcus schneck patrio,60,8,Fishing
don care starbucks trenta cup bigger stomach,62,19,Starbucks Trenta cup controversy
al jazeera report region yemen pres extend term protest call syria,79,21,Yemen protest news
revolt contagious anti government protest spread yemen tcot tlot jan sidibouzid,79,21,Yemen protests intensify
american fishing book guide value,60,28,Fishing events and gear
king speech win big dgas award season tight race social network,88,45,Awards season: Oscars and SAG
vw black beetle commercial favorite super bowl ad night,99,48,Super Bowl commercials
canadian journalist detained harassed foreign journalist targeted cairo,66,25,Egypt-related political news
sidney crosby concussion raise safety debate hockey spark discussion,84,49,Concussions and sports injuries
omg oprah plege wouldn text drive didn seriously lol xd bbl,104,82,Oprah Winfrey
wlcentral yemen day rage february egypt jan yemen feb,79,21,Middle East protests
law suit taco bell beef filler find taco bell chihuahua,20,3,Taco Bell lawsuit
chipotle caught immigration crosshairs yahoo news knew genuine mexican working,80,82,Fast food and immigration policies
love kardashian doll fave doll khloe gt,72,55,Kardashians
elizabeth olsen sundance film festival debut sister footstep theatrical,96,72,Sundance Film Festival
screen actor guild award list winner sag king speech reign supreme edie falco,88,45,Awards season: Oscars and SAG
facebook finally offer http change setting,95,38,Facebook and privacy settings
competitive fishing tactic fly everyday fisherman thinking man,60,81,Fishing events and gear
creamy recipe fettuccine alfredo chicken recipe,87,16,Chicken recipes and food ideas
ice fishing bro brohsdahl jason mitchell byron eckhardt special ice fishing schtick,60,8,Fishing events and gear
flyfishing big earth publishing flyfishing barry reynolds bass walleye buy john,60,81,Fishing events and gear
interview venezuela sweetheart champion chavez venezuelan president hugo chavez speaks meeting,56,20,Hugo Chávez’s presidency
court emanuel eligible chicago mayor ny time pa habit sur place assez longtemps,21,46,Rahm Emanuel ballot case
jay carney white house press secretary richard adam guardian,44,26,Celebrity gossip and pop culture
king speech top screen actor guild award winner mtv movie music,88,45,Awards season: Oscars and SAG
insurance news federal judge reject health reform law district court judge roger vinson agreed,22,42,Healthcare reform legal battles
attorney general office identity theft prevention tip west virginia attorney general darrell mcgraw,108,26,Identity theft concerns
duraflame log beef taco bell,20,3,Taco Bell lawsuit
superbowl volkswagen commercial force,99,37,Super Bowl commercials
hilarious super bowl commercial,99,52,Super Bowl ad reviews
web daily stunning slow day launch daily ipad newspaper ipad,54,1,Electronics and gadgets
sundance familiar territory elizabeth bank omg,96,72,Sundance Film Festival
hellothere king speech win sag award king speech win best actor trophy sunday bythere,88,45,Awards season: Oscars and SAG
reporter attacked attack journalist send message,66,22,Egypt-related political news
case haven brilliant motorola xoom ad super bowl,99,41,Motorola Xoom Super Bowl ad
justin bieber address danger texting driving extreme makeover music celebrity justin bieber,104,41,Don’t text and drive campaigns
fda approved injectable drug called makena reduce risk preterm delivery week,58,24,FDA drug approvals
yemeni president ruled decade ll seek extend term pas power son reuters,79,14,Yemen protest news
brytec fly fishing box brytec fishing,60,81,Fishing events and gear
aquarium fish basic plant container garden pl,60,74,Aquariums and pet care
school tackling cut teen concussion,84,49,Concussions and sports injuries
dont text drive,104,61,Safe driving pledges
thousand jordan protest demand pm step day protest opposition supporter stre,38,85,Middle East protests
novak djokovic win australian open well deserved played amazing couldn help feel andy murray,71,60,Australian Open tennis championship
bad best commercial movie trailer random urge buy doritos bud light superbowl,99,68,Super Bowl ad reviews
type identity theft dark dragon grownup identity theft,108,10,Identity theft concerns
guided fly fishing muskegon river trout,60,66,Fishing events and gear
love khloe alexandra kardashian biggest fan kuwait will meet,72,55,Kardashians
king speech rule obvious batch oscar bait ap,88,39,Awards season: Oscars and SAG
recap steve job will good time apple,106,51,Steve Jobs’ health and impact on Apple
gt annual academy award nomination announced man ve best picture noms,88,33,Awards season: Oscars and SAG
today stock market dow jones industrial average dji nasdaq,92,46,Stock market and investing
doctor giffords face rocky road recovery day week rep gabrielle giffords recovery,37,29,Invalid
france fox piven defies death threat taunt anchorman glenn beck mental,40,82,Social media influence in democracy
reuters top news yemen president won extend term pas son,79,14,Yemen protest news
oscar nominated gasland director josh fox gas drilling barnett shale dallas observer blog,109,59,Natural disasters and climate change
full video super bowl national anthem singer christina aguilera fail imalive,75,65,Christina Aguilera’s national anthem mishap
political power social medium foreign affair,45,40,Social media for politics
identity theft steal social security number theft,108,10,Identity theft concerns
complete book fly fishing,60,81,Fishing events and gear
college best financial aid arizona state university,97,75,College scholarships and financial aid
spreading thousand protest jordan demand pm step aljazeera net,38,85,Middle East protests
manchester austerity cut hit frontline service leisure centre library swimming pool public toile,51,87,Job market and unemployment rate
thing social medium revolution,45,40,Social media for politics
best buy launch electronics buy program ap,85,1,Electronics and gadgets
social network king speech aim oscar ap ap academy award voter poised set showd,88,39,Awards season: Oscars and SAG
ticker thousand yemeni call president quit,79,14,Yemen protest news
australian open final novak djokovic andy murray live blog bleacher report contributor scott,71,60,Australian Open tennis championship
yemen republican guard dispatched roaming street sana reliable source,79,21,Yemen protests intensify
cbc ticker southeast australia brace flood australia deadly flood crisis forced people,98,50,Natural disasters and climate change
